"Weekly log / Project diary",,,,,,,
Week,ID,Who,"TODO When","TODO What","DONE When","DONE What","Successor ID"
====================,==,=====,=====,=====,=====,=====,=====
"LP3LV1 2023-01-16 to 2023-01-22",,All,,,Tuesday,"Introduction, first meeting",
"LP3LV1 2023-01-16 to 2023-01-22",,Loke,,,Tuesday,"Has written some documentation (design.md, technology.md)",
"LP3LV1 2023-01-16 to 2023-01-22",,All,,,Thursday,"Group meeting. Consultation times booked.",
"LP3LV1 2023-01-16 to 2023-01-22",,Loke,,,Thursday,"Proposes S2E (https://s2e.systems/). Decision to be made next Monday. Decided on a reading list until monday.",
====================,==,=====,=====,=====,=====,=====,=====
"LP3LV2 2023-01-23 to 2023-01-29",,All,,,Monday,"Meeting Supervisor (Iulia). Decided on going with S2E and not build an engine by ourselves.",
"LP3LV2 2023-01-23 to 2023-01-29",,Enaya,,,Monday,"Set up LaTeX template, project plan & report.",
"LP3LV2 2023-01-23 to 2023-01-29",,Samuel,,,Thursday,"Setting up devenv",
"LP3LV2 2023-01-23 to 2023-01-29",,Loke,,,Thursday,"Started working on S2E building",
"LP3LV2 2023-01-23 to 2023-01-29",,All,,,Thursday,"Planning to start with project plan. Assigned project plan headings among group members.",
====================,==,=====,=====,=====,=====,=====,=====
"LP3LV3 2023-01-30 to 2023-02-05",,Loke,,,Monday,"More work on S2E building",
"LP3LV3 2023-01-30 to 2023-02-05",,Enaya,,,Monday,"GANTT chart template",
"LP3LV3 2023-01-30 to 2023-02-05",,All,,,Monday,"Group meeting. Worked on GANTT chart.",
"LP3LV3 2023-01-30 to 2023-02-05",,All,,,Thursday,"Group meeting. Discussed report + ethics.",
"LP3LV3 2023-01-30 to 2023-02-05",,All,,,Thursday,"Written text for the project plan",
====================,==,=====,=====,=====,=====,=====,=====
"LP3LV4 2023-02-06 to 2023-02-12",,All,,,Monday,"Written text for the project plan",
"LP3LV4 2023-02-06 to 2023-02-12",,All,,,Monday,"Giving feedback to each other on the writing",
"LP3LV4 2023-02-06 to 2023-02-12",,All,,,Thursday,"Written text for the project plan, taking feedback into account",
"LP3LV4 2023-02-06 to 2023-02-12",,All,,,Friday,"Finalized project plan",
====================,==,=====,=====,=====,=====,=====,=====
